States,2014-2018
Alabama,14.2
Alaska,7.3
Arizona,13.2
Arkansas,13.8
California,17.1
Colorado,8.6
Connecticut,9.5
Delaware,10.2
District of Columbia,9.4
Florida,12.0
Georgia,13.3
Hawaii,8.2
Idaho,9.4
Illinois,11.1
Indiana,11.4
Iowa,8.0
Kansas,9.3
Kentucky,14.3
Louisiana,15.2
Maine,7.7
Maryland,10.0
Massachusetts,9.6
Michigan,9.5
Minnesota,7.0
Mississippi,16.1
Missouri,10.4
Montana,6.8
Nebraska,8.9
Nevada,13.7
New Hampshire,7.1
New Jersey,10.5
New Mexico,14.7
New York,13.5
North Carolina,12.6
North Dakota,7.5
Ohio,9.9
Oklahoma,12.2
Oregon,9.6
Pennsylvania,9.8
Rhode Island,12.0
South Carolina,12.9
South Dakota,8.3
Tennessee,13.0
Texas,16.8
Utah,8.0
Vermont,7.4
Virginia,10.7
Washington,8.9
West Virginia,13.5
Wisconsin,8.1
Wyoming,7.1
